species,accession
P. megakarya,KR818191.1
P. megakarya,KR818201.1
P. megakarya,KR818203.1
P. megakarya,KR818206.1
P. megakarya,KR818209.1
P. megakarya,KR818210.1
P. megakarya,KR818211.1
P. megakarya,KR818212.1
P. megakarya,KT183040.1
P. megakarya,KX251032.1
P. megakarya,KX251039.1
P. megakarya,KX251046.1
P. megakarya,LC595791.1
P. megakarya,MG865533.1
P. megakarya,MG865534.1
P. megakarya,MH401202.1
P. megakarya,MH401203.1
P. megakarya,MH401204.1
P. megakarya,MH620121.1
P. megakarya,MZ541057.1
P. megakarya,MZ541882.1
P. megakarya,NBNE01000143.1
P. megakarya,NBNE01003487.1
P. megakarya,PQ157645.1
P. megakarya,S40356.1
P. megakarya,S40358.1
P. palmivora,AB367357.1
P. palmivora,AB367358.1
P. palmivora,AB367359.1
P. palmivora,AB367360.1
P. palmivora,AB367361.1
P. palmivora,AB367500.1
P. palmivora,AB367514.1
P. palmivora,AB669142.1
P. palmivora,AB688395.1
P. palmivora,AB688396.1
P. palmivora,AB688397.1
P. palmivora,AB688398.1
P. palmivora,AB688399.1
P. palmivora,AB688400.1
P. palmivora,AB688401.1
P. palmivora,AB688402.1
P. palmivora,AB688403.1
P. palmivora,AB688415.1
P. palmivora,AB688416.1
P. palmivora,AB688549.1
P. palmivora,AB688550.1
P. palmivora,AB688551.1
P. palmivora,AB688552.1
P. palmivora,AB688553.1
P. palmivora,AB688554.1
P. palmivora,AB688555.1
P. palmivora,AB688556.1
P. palmivora,AB688557.1
P. palmivora,AB688558.1
P. palmivora,AB688559.1
P. palmivora,AB688560.1
P. palmivora,AB688561.1
P. palmivora,AB688562.1
P. palmivora,AB688563.1
P. palmivora,AB688580.1
P. palmivora,AB688581.1
P. palmivora,AB769175.1
P. palmivora,AF228087.1
P. palmivora,AF228088.1
P. palmivora,AF242782.1
P. palmivora,AF266780.1
P. palmivora,AF467088.1
P. palmivora,AF467089.1
P. palmivora,AF467090.1
P. palmivora,AF467091.1
P. palmivora,AF467092.1
P. palmivora,AF467093.1
P. palmivora,AF467094.1
P. palmivora,AJ517462.1
P. palmivora,AJ517463.1
P. palmivora,AJ517464.1
P. palmivora,AJ517465.1
P. palmivora,AM422704.1
P. palmivora,AY208126.1
P. palmivora,AY208127.2
P. palmivora,AY251647.1
P. palmivora,AY251648.1
P. palmivora,AY423300.1
P. palmivora,AY742734.1
P. palmivora,AY742745.1
P. palmivora,AY744948.1
P. palmivora,AY744949.1
P. palmivora,AY745750.1
P. palmivora,AY745751.1
P. palmivora,AY878546.1
P. palmivora,DQ087415.1
P. palmivora,DQ182740.1
P. palmivora,DQ182741.1
P. palmivora,DQ182742.1
P. palmivora,DQ182743.1
P. palmivora,DQ182744.1
P. palmivora,DQ182745.1
P. palmivora,DQ182746.1
P. palmivora,DQ182747.1
P. palmivora,DQ182748.1
P. palmivora,DQ182749.1
P. palmivora,DQ182750.1
P. palmivora,DQ182751.1
P. palmivora,DQ538511.1
P. palmivora,DQ538512.1
P. palmivora,DQ910798.1
P. palmivora,DQ987915.1
P. palmivora,DQ987916.1
P. palmivora,DQ987917.1
P. palmivora,DQ987918.1
P. palmivora,DQ987919.1
P. palmivora,DQ987920.1
P. palmivora,DQ987921.1
P. palmivora,DQ987922.1
P. palmivora,EU080343.1
P. palmivora,EU080469.1
P. palmivora,EU194438.1
P. palmivora,EU515173.1
P. palmivora,EU831280.1
P. palmivora,FJ527821.1
P. palmivora,FJ666090.1
P. palmivora,FJ746671.1
P. palmivora,FJ746672.1
P. palmivora,FJ801242.1
P. palmivora,FJ801246.1
P. palmivora,FJ801249.1
P. palmivora,FJ801252.1
P. palmivora,FJ801259.1
P. palmivora,FJ801316.1
P. palmivora,FJ801432.1
P. palmivora,FJ801433.1
P. palmivora,FJ801434.1
P. palmivora,FJ801519.1
P. palmivora,FJ801520.1
P. palmivora,FJ801544.1
P. palmivora,FJ801548.1
P. palmivora,FJ801576.1
P. palmivora,FJ801578.1
P. palmivora,FJ801628.1
P. palmivora,FJ801642.1
P. palmivora,FJ801918.1
P. palmivora,FJ801921.1
P. palmivora,FJ801962.1
P. palmivora,FJ801974.1
P. palmivora,FJ802105.1
P. palmivora,FJ865408.1
P. palmivora,GQ131800.1
P. palmivora,GQ398157.1
P. palmivora,GQ924478.1
P. palmivora,GU073390.1
P. palmivora,GU073391.1
P. palmivora,GU073393.1
P. palmivora,GU111646.1
P. palmivora,GU111647.1
P. palmivora,GU111648.1
P. palmivora,GU111649.1
P. palmivora,GU111650.1
P. palmivora,GU111651.1
P. palmivora,GU111652.1
P. palmivora,GU111653.1
P. palmivora,GU111654.1
P. palmivora,GU111655.1
P. palmivora,GU111656.1
P. palmivora,GU111657.1
P. palmivora,GU111658.1
P. palmivora,GU111659.1
P. palmivora,GU111660.1
P. palmivora,GU111661.1
P. palmivora,GU111662.1
P. palmivora,GU111663.1
P. palmivora,GU111664.1
P. palmivora,GU258599.1
P. palmivora,GU258851.1
P. palmivora,GU258861.1
P. palmivora,GU258862.1
P. palmivora,GU258863.1
P. palmivora,GU258864.1
P. palmivora,GU258865.1
P. palmivora,GU258866.1
P. palmivora,GU258942.1
P. palmivora,GU258944.1
P. palmivora,GU258946.1
P. palmivora,GU258947.1
P. palmivora,GU258948.1
P. palmivora,GU258950.1
P. palmivora,GU259018.1
P. palmivora,GU259121.1
P. palmivora,GU259165.1
P. palmivora,GU259334.1
P. palmivora,GU259469.1
P. palmivora,GU992938.1
P. palmivora,GU993909.1
P. palmivora,HM182101.1
P. palmivora,HM582093.1
P. palmivora,HM582094.1
P. palmivora,HM582095.1
P. palmivora,HM582096.1
P. palmivora,HQ013213.1
P. palmivora,HQ237477.1
P. palmivora,HQ237478.1
P. palmivora,HQ237479.1
P. palmivora,HQ237480.1
P. palmivora,HQ237481.1
P. palmivora,HQ261380.1
P. palmivora,HQ261381.1
P. palmivora,HQ261382.1
P. palmivora,HQ261383.1
P. palmivora,HQ261633.1
P. palmivora,HQ261634.1
P. palmivora,HQ261635.1
P. palmivora,HQ261636.1
P. palmivora,HQ446453.1
P. palmivora,HQ596556.1
P. palmivora,HQ596558.1
P. palmivora,HQ643305.1
P. palmivora,HQ643306.1
P. palmivora,HQ643307.1
P. palmivora,HQ643308.1
P. palmivora,HQ659668.1
P. palmivora,HQ665195.1
P. palmivora,HQ708355.1
P. palmivora,HQ708356.1
P. palmivora,HQ708357.1
P. palmivora,HQ708358.1
P. palmivora,JF278081.1
P. palmivora,JF777117.1
P. palmivora,JF792543.1
P. palmivora,JF792544.1
P. palmivora,JF792545.1
P. palmivora,JF792546.1
P. palmivora,JF792547.1
P. palmivora,JF792548.1
P. palmivora,JF799875.1
P. palmivora,JN559844.1
P. palmivora,JN559847.1
P. palmivora,JN592513.1
P. palmivora,JN592514.1
P. palmivora,JN618699.1
P. palmivora,JN618704.1
P. palmivora,JN618795.1
P. palmivora,JN618815.1
P. palmivora,JN635074.1
P. palmivora,JN635101.1
P. palmivora,JN635152.1
P. palmivora,JN635186.1
P. palmivora,JN635188.1
P. palmivora,JQ354937.1
P. palmivora,JQ446449.1
P. palmivora,JQ743200.1
P. palmivora,JQ743201.1
P. palmivora,JQ743202.1
P. palmivora,JX155789.1
P. palmivora,JX155790.1
P. palmivora,JX155791.1
P. palmivora,JX155792.1
P. palmivora,JX155794.1
P. palmivora,JX155795.1
P. palmivora,JX155796.1
P. palmivora,JX198553.1
P. palmivora,JX198555.1
P. palmivora,JX198558.1
